Gene	Protein	Locus	GeneName
NC_001142.9	NP_012464.1	YJL071W	ARG2
NC_001142.9	NP_012465.3	YJL070C	NP_012465.3
NC_001142.9	NP_012466.1	YJL069C	UTP18
NC_001142.9	NP_012467.1	YJL068C	NP_012467.1
NC_001142.9	NP_012469.3	YJL066C	MPM1
NC_001142.9	NP_012470.1	YJL065C	DLS1
NC_001142.9	NP_012472.1	YJL063C	MRPL8
NC_001142.9	NP_076894.3	YJL062W-A	COA3
NC_001142.9	NP_012473.1	YJL062W	LAS21
NC_001142.9	NP_012474.1	YJL061W	NUP82
NC_001142.9	NP_012475.3	YJL060W	BNA3
NC_001142.9	NP_012476.1	YJL059W	YHC3
NC_001142.9	NP_012477.1	YJL058C	BIT61
NC_001142.9	NP_012478.3	YJL057C	IKS1
NC_001142.9	NP_012479.1	YJL056C	ZAP1
NC_001142.9	NP_012480.1	YJL055W	NP_012480.1
NC_001142.9	NP_012481.3	YJL054W	TIM54
NC_001142.9	NP_012482.1	YJL053W	PEP8
NC_001142.9	NP_076895.1	YJL052C-A	NP_076895.1
NC_001142.9	NP_012483.3	YJL052W	TDH1
NC_001142.9	NP_012484.1	YJL051W	IRC8
NC_001142.9	NP_012485.1	YJL050W	MTR4
NC_001142.9	NP_012486.3	YJL049W	CHM7
NC_001142.9	NP_012487.1	YJL048C	UBX6
NC_001142.9	NP_878105.1	YJL047C-A	NP_878105.1
NC_001142.9	NP_012488.3	YJL047C	RTT101
NC_001142.9	NP_012489.2	YJL046W	AIM22
NC_001142.9	NP_012490.1	YJL045W	NP_012490.1
NC_001142.9	NP_012491.3	YJL044C	GYP6
NC_001142.9	NP_012492.1	YJL043W	NP_012492.1
NC_001142.9	NP_012493.1	YJL042W	MHP1
NC_001142.9	NP_012494.3	YJL041W	NSP1
NC_001142.9	NP_012495.1	YJL039C	NUP192
NC_001142.9	NP_012496.1	YJL038C	LOH1
NC_001142.9	NP_012497.3	YJL037W	IRC18
NC_001142.9	NP_012498.1	YJL036W	SNX4
NC_001142.9	NP_012499.1	YJL035C	TAD2
NC_001142.9	NP_012500.3	YJL034W	KAR2
NC_001142.9	NP_012501.1	YJL033W	HCA4
NC_001142.9	NP_012503.2	YJL031C	BET4
NC_001142.9	NP_012504.3	YJL030W	MAD2
NC_001142.9	NP_012505.1	YJL029C	VPS53
NC_001142.9	NP_012506.1	YJL028W	NP_012506.1
NC_001142.9	NP_012507.3	YJL027C	NP_012507.3
NC_001142.9	NP_012508.1	YJL026W	RNR2
NC_001142.9	NP_012509.1	YJL025W	RRN7
NC_001142.9	NP_012510.3	YJL024C	APS3
NC_001142.9	NP_012511.1	YJL023C	PET130
NC_001142.9	NP_012514.2	YJL020C	BBC1
NC_001142.9	NP_012515.4	YJL019W	MPS3
NC_001142.9	NP_012518.2	YJL016W	TPH3
NC_001142.9	NP_012520.1	YJL014W	CCT3
NC_001142.9	NP_012521.3	YJL013C	MAD3
NC_001142.9	NP_012522.2	YJL012C	VTC4
NC_001142.9	NP_012523.2	YJL011C	RPC17
NC_001142.9	NP_012524.3	YJL010C	NOP9
NC_001142.9	NP_012526.1	YJL008C	CCT8
NC_001142.9	NP_001335787.1	YJL007C	NP_001335787.1
NC_001142.9	NP_012528.1	YJL006C	CTK2
NC_001142.9	NP_012529.3	YJL005W	CYR1
NC_001142.9	NP_012530.1	YJL004C	SYS1
NC_001142.9	NP_012531.1	YJL003W	COX16
NC_001142.9	NP_012532.3	YJL002C	OST1
NC_001142.9	NP_012533.1	YJL001W	PRE3
NC_001142.9	NP_012534.1	YJR001W	AVT1
NC_001142.9	NP_012535.3	YJR002W	MPP10
NC_001142.9	NP_012536.2	YJR003C	MRX12
NC_001142.9	NP_012537.1	YJR004C	SAG1
NC_001142.9	NP_012538.3	YJR005W	APL1
NC_001142.9	NP_878106.1	YJR005C-A	LSO1
NC_001142.9	NP_012539.1	YJR006W	POL31
NC_001142.9	NP_012540.3	YJR007W	SUI2
NC_001142.9	NP_012541.1	YJR008W	MHO1
NC_001142.9	NP_012542.1	YJR009C	TDH2
NC_001142.9	NP_012543.3	YJR010W	MET3
NC_001142.9	NP_012544.1	YJR010C-A	SPC1
NC_001142.9	NP_012545.1	YJR011C	NP_012545.1
NC_001142.9	NP_012546.3	YJR012C	NP_012546.3
NC_001142.9	NP_012547.2	YJR013W	GPI14
NC_001142.9	NP_012548.1	YJR014W	TMA22
NC_001142.9	NP_012549.3	YJR015W	NP_012549.3
NC_001142.9	NP_012550.1	YJR016C	ILV3
NC_001142.9	NP_012551.2	YJR017C	ESS1
NC_001142.9	NP_012553.3	YJR019C	TES1
NC_001142.9	NP_012555.1	YJR021C	REC107
NC_001142.9	NP_012556.2	YJR022W	LSM8
NC_001142.9	NP_012558.3	YJR024C	MDE1
NC_001142.9	NP_012559.1	YJR025C	BNA1
NC_001142.9	NP_012560.1	YJR027W	NP_012560.1
NC_001142.9	NP_012561.3	YJR026W	NP_012561.3
NC_001142.9	NP_012562.1	YJR029W	NP_012562.1
NC_001142.9	NP_012563.1	YJR028W	NP_012563.1
NC_001142.9	NP_012564.3	YJR030C	RBH2
NC_001142.9	NP_012565.1	YJR031C	GEA1
NC_001142.9	NP_012566.1	YJR032W	CPR7
NC_001142.9	NP_012567.3	YJR033C	RAV1
NC_001142.9	NP_012568.1	YJR034W	PET191
NC_001142.9	NP_012569.1	YJR035W	RAD26
NC_001142.9	NP_012570.3	YJR036C	HUL4
NC_001142.9	NP_012573.1	YJR039W	NP_012573.1
NC_001142.9	NP_012574.1	YJR040W	GEF1
NC_001142.9	NP_012575.3	YJR041C	URB2
NC_001142.9	NP_012576.1	YJR042W	NUP85
NC_001142.9	NP_012577.1	YJR043C	POL32
NC_001142.9	NP_012578.3	YJR044C	VPS55
NC_001142.9	NP_012579.1	YJR045C	SSC1
NC_001142.9	NP_012580.1	YJR046W	TAH11
NC_001142.9	NP_012581.3	YJR047C	ANB1
NC_001142.9	NP_012582.1	YJR048W	CYC1
NC_001142.9	NP_012583.1	YJR049C	UTR1
NC_001142.9	NP_012584.3	YJR050W	ISY1
NC_001142.9	NP_012585.1	YJR051W	OSM1
NC_001142.9	NP_012586.1	YJR052W	RAD7
NC_001142.9	NP_012587.3	YJR053W	BFA1
NC_001142.9	NP_012588.1	YJR054W	KCH1
NC_001142.9	NP_012589.1	YJR055W	HIT1
NC_001142.9	NP_012590.3	YJR056C	NP_012590.3
NC_001142.9	NP_012591.1	YJR057W	CDC8
NC_001142.9	NP_012592.1	YJR058C	APS2
NC_001142.9	NP_012593.3	YJR059W	PTK2
NC_001142.9	NP_012594.1	YJR060W	CBF1
NC_001142.9	NP_012595.1	YJR061W	NP_012595.1
NC_001142.9	NP_012596.3	YJR062C	NTA1
NC_001142.9	NP_012597.1	YJR063W	RPA12
NC_001142.9	NP_012598.1	YJR064W	CCT5
NC_001142.9	NP_012599.3	YJR065C	ARP3
NC_001142.9	NP_012600.1	YJR066W	TOR1
NC_001142.9	NP_012601.1	YJR067C	YAE1
NC_001142.9	NP_012602.3	YJR068W	RFC2
NC_001142.9	NP_012603.1	YJR069C	HAM1
NC_001142.9	NP_012604.1	YJR070C	LIA1
NC_001142.9	NP_012606.3	YJR072C	NPA3
NC_001142.9	NP_012607.1	YJR073C	OPI3
NC_001142.9	NP_012608.1	YJR074W	MOG1
NC_001142.9	NP_012609.3	YJR075W	HOC1
NC_001142.9	NP_012610.1	YJR076C	CDC11
NC_001142.9	NP_012611.1	YJR077C	MIR1
NC_001142.9	NP_012612.3	YJR078W	BNA2
NC_001142.9	NP_012613.1	YJR079W	NP_012613.1
NC_001142.9	NP_012614.1	YJR080C	AIM24
NC_001142.9	NP_012615.3	YJR082C	EAF6
NC_001142.9	NP_012616.1	YJR083C	ACF4
NC_001142.9	NP_012617.1	YJR084W	NP_012617.1
NC_001142.9	NP_012618.3	YJR085C	NP_012618.3
NC_001142.9	NP_012619.1	YJR086W	STE18
NC_001142.9	NP_012621.1	YJR088C	EMC2
NC_001142.9	NP_012622.3	YJR089W	BIR1
NC_001142.9	NP_012623.1	YJR090C	GRR1
NC_001142.9	NP_012624.1	YJR091C	JSN1
NC_001142.9	NP_012625.5	YJR092W	BUD4
NC_001142.9	NP_012626.1	YJR093C	FIP1
NC_001142.9	NP_012627.1	YJR094C	IME1
NC_001142.9	NP_012628.3	YJR094W-A	RPL43B
NC_001142.9	NP_012629.1	YJR095W	SFC1
NC_001142.9	NP_012630.1	YJR096W	NP_012630.1
NC_001142.9	NP_012631.3	YJR097W	JJJ3
NC_001142.9	NP_012632.2	YJR098C	NP_012632.2
NC_001142.9	NP_012633.1	YJR099W	YUH1
NC_001142.9	NP_012634.3	YJR100C	AIM25
NC_001142.9	NP_012635.1	YJR101W	RSM26
NC_001142.9	NP_012636.1	YJR102C	VPS25
NC_001142.9	NP_012637.4	YJR103W	URA8
NC_001142.9	NP_012638.1	YJR104C	SOD1
NC_001142.9	NP_012639.1	YJR105W	ADO1
NC_001142.9	NP_012640.4	YJR106W	ECM27
NC_001142.9	NP_012641.2	YJR107W	LIH1
NC_001142.9	NP_012642.1	YJR108W	ABM1
NC_001142.9	NP_012643.3	YJR109C	CPA2
NC_001142.9	NP_012644.1	YJR110W	YMR1
NC_001142.9	NP_012645.1	YJR111C	PXP2
NC_001142.9	NP_012646.3	YJR112W	NNF1
NC_001142.9	NP_878107.1	YJR112W-A	NP_878107.1
NC_001142.9	NP_012647.1	YJR113C	RSM7
NC_001142.9	NP_012649.3	YJR115W	NP_012649.3
NC_001142.9	NP_012650.1	YJR116W	TDA4
NC_001142.9	NP_012651.1	YJR117W	STE24
NC_001142.9	NP_012652.3	YJR118C	ILM1
NC_001142.9	NP_012653.1	YJR119C	JHD2
NC_001142.9	NP_012654.1	YJR120W	NP_012654.1
NC_001142.9	NP_012655.3	YJR121W	ATP2
NC_001142.9	NP_012656.1	YJR122W	IBA57
NC_001142.9	NP_012657.1	YJR123W	RPS5
NC_001142.9	NP_012658.3	YJR124C	NP_012658.3
NC_001142.9	NP_012659.1	YJR125C	ENT3
NC_001142.9	NP_012660.1	YJR126C	VPS70
NC_001142.9	NP_012661.3	YJR127C	RSF2
NC_001142.9	NP_001335788.1	YJR128W	NP_001335788.1
NC_001142.9	NP_012663.2	YJR129C	EFM3
NC_001142.9	NP_012664.1	YJR130C	STR2
NC_001142.9	NP_012665.3	YJR131W	MNS1
NC_001142.9	NP_012666.2	YJR132W	NMD5
NC_001142.9	NP_012667.1	YJR133W	XPT1
NC_001142.9	NP_012668.3	YJR134C	SGM1
NC_001142.9	NP_012669.1	YJR135C	MCM22
NC_001142.9	NP_058168.1	YJR135W-A	TIM8
NC_001142.9	NP_012670.3	YJR136C	TTI2
NC_001142.9	NP_116579.1	YJR137C	MET5
NC_001142.9	NP_012672.1	YJR138W	IML1
NC_001142.9	NP_012673.3	YJR139C	HOM6
NC_001142.9	NP_012674.1	YJR140C	HIR3
NC_001142.9	NP_012675.1	YJR141W	IPA1
NC_001142.9	NP_012676.3	YJR142W	NP_012676.3
NC_001142.9	NP_012677.1	YJR143C	PMT4
NC_001142.9	NP_012678.1	YJR144W	MGM101
NC_001142.9	NP_012679.3	YJR145C	RPS4A
NC_001142.9	NP_001257683.1	YJR146W	NP_001257683.1
NC_001142.9	NP_012681.1	YJR147W	HMS2
NC_001142.9	NP_012682.1	YJR148W	BAT2
NC_001142.9	NP_012683.4	YJR149W	NP_012683.4
NC_001142.9	NP_012684.4	YJR150C	DAN1
NC_001142.9	NP_012685.1	YJR151C	DAN4
NC_001142.9	NP_878108.1	YJR151W-A	NP_878108.1
NC_001142.9	NP_012686.3	YJR152W	DAL5
NC_001142.9	NP_012687.3	YJR153W	PGU1
NC_001142.9	NP_012688.1	YJR154W	NP_012688.1
NC_001142.9	NP_012689.1	YJR155W	AAD10
NC_001142.9	NP_012690.3	YJR156C	THI11
NC_001142.9	NP_012692.3	YJR158W	HXT16
NC_001142.9	NP_012693.1	YJR159W	SOR1
NC_001142.9	NP_012694.1	YJR160C	MPH3
NC_001142.9	NP_012695.3	YJR161C	COS5
NC_001143.9	NP_012698.1	YKL224C	PAU16
NC_001143.9	NP_012700.1	YKL222C	NP_012700.1
NC_001143.9	NP_012701.2	YKL221W	MCH2
NC_001143.9	NP_012702.1	YKL220C	FRE2
NC_001143.9	NP_012703.1	YKL219W	COS9
NC_001143.9	NP_012704.1	YKL218C	SRY1
NC_001143.9	NP_012705.1	YKL217W	JEN1
NC_001143.9	NP_012706.1	YKL216W	URA1
NC_001143.9	NP_012707.1	YKL215C	OXP1
NC_001143.9	NP_012708.1	YKL214C	YRA2
NC_001143.9	NP_012709.1	YKL213C	DOA1
NC_001143.9	NP_012710.1	YKL212W	SAC1
NC_001143.9	NP_012711.1	YKL211C	TRP3
NC_001143.9	NP_012712.1	YKL210W	UBA1
NC_001143.9	NP_012713.1	YKL209C	STE6
NC_001143.9	NP_012714.1	YKL208W	CBT1
NC_001143.9	NP_012715.3	YKL207W	EMC3
NC_001143.9	NP_012716.1	YKL206C	ADD66
NC_001143.9	NP_012717.1	YKL205W	LOS1
NC_001143.9	NP_012718.1	YKL204W	EAP1
NC_001143.9	NP_012719.2	YKL203C	TOR2
NC_001143.9	NP_012721.1	YKL201C	MNN4
NC_001143.9	NP_012723.3	YKL198C	PTK1
NC_001143.9	NP_012724.1	YKL197C	PEX1
NC_001143.9	NP_012725.1	YKL196C	YKT6
NC_001143.9	NP_012726.2	YKL195W	MIA40
NC_001143.9	NP_012727.1	YKL194C	MST1
NC_001143.9	NP_012728.1	YKL193C	SDS22
NC_001143.9	NP_012729.1	YKL192C	ACP1
NC_001143.9	NP_012730.1	YKL191W	DPH2
NC_001143.9	NP_012731.1	YKL190W	CNB1
NC_001143.9	NP_012732.1	YKL189W	HYM1
NC_001143.9	NP_012733.1	YKL188C	PXA2
NC_001143.9	NP_012734.1	YKL187C	FAT3
NC_001143.9	NP_012735.1	YKL186C	MTR2
NC_001143.9	NP_012736.1	YKL185W	ASH1
NC_001143.9	NP_012737.1	YKL184W	SPE1
NC_001143.9	NP_878109.1	YKL183C-A	NP_878109.1
NC_001143.9	NP_012738.1	YKL183W	LOT5
NC_001143.9	NP_012739.1	YKL182W	FAS1
NC_001143.9	NP_012740.1	YKL181W	PRS1
NC_001143.9	NP_012741.1	YKL180W	RPL17A
NC_001143.9	NP_012742.1	YKL179C	COY1
NC_001143.9	NP_012743.1	YKL178C	STE3
NC_001143.9	NP_012745.1	YKL176C	LST4
NC_001143.9	NP_012746.1	YKL175W	ZRT3
NC_001143.9	NP_012747.1	YKL174C	TPO5
NC_001143.9	NP_012748.1	YKL173W	SNU114
NC_001143.9	NP_012749.1	YKL172W	EBP2
NC_001143.9	NP_012750.1	YKL171W	NNK1
NC_001143.9	NP_012751.1	YKL170W	MRPL38
NC_001143.9	NP_012753.2	YKL168C	KKQ8
NC_001143.9	NP_012754.1	YKL167C	MRP49
NC_001143.9	NP_012755.1	YKL166C	TPK3
NC_001143.9	NP_012756.1	YKL165C	MCD4
NC_001143.9	NP_012757.1	YKL164C	PIR1
NC_001143.9	NP_012758.1	YKL163W	PIR3
NC_001143.9	NP_012760.1	YKL162C	NP_012760.1
NC_001143.9	NP_012761.1	YKL161C	KDX1
NC_001143.9	NP_012762.1	YKL160W	ELF1
NC_001143.9	NP_012763.1	YKL159C	RCN1
NC_001143.9	NP_012765.3	YKL157W	APE2
NC_001143.9	NP_012766.1	YKL156W	RPS27A
NC_001143.9	NP_012767.1	YKL155C	RSM22
NC_001143.9	NP_012768.1	YKL154W	SRP102
NC_001143.9	NP_012770.1	YKL152C	GPM1
NC_001143.9	NP_012771.1	YKL151C	NNR2
NC_001143.9	NP_012772.1	YKL150W	MCR1
NC_001143.9	NP_012773.1	YKL149C	DBR1
NC_001143.9	NP_012774.1	YKL148C	SDH1
NC_001143.9	NP_012776.1	YKL146W	AVT3
NC_001143.9	NP_012777.1	YKL145W	RPT1
NC_001143.9	NP_012778.1	YKL144C	RPC25
NC_001143.9	NP_012779.1	YKL143W	LTV1
NC_001143.9	NP_012780.1	YKL142W	MRP8
NC_001143.9	NP_012781.1	YKL141W	SDH3
NC_001143.9	NP_012782.1	YKL140W	TGL1
NC_001143.9	NP_012783.1	YKL139W	CTK1
NC_001143.9	NP_690844.1	YKL138C-A	HSK3
NC_001143.9	NP_012784.1	YKL138C	MRPL31
NC_001143.9	NP_012785.2	YKL137W	CMC1
NC_001143.9	NP_012787.1	YKL135C	APL2
NC_001143.9	NP_012788.2	YKL134C	OCT1
NC_001143.9	NP_012789.2	YKL133C	NP_012789.2
NC_001143.9	NP_012790.1	YKL132C	RMA1
NC_001143.9	NP_012792.1	YKL130C	SHE2
NC_001143.9	NP_012793.2	YKL129C	MYO3
NC_001143.9	NP_012794.1	YKL128C	PMU1
NC_001143.9	NP_012795.1	YKL127W	PGM1
NC_001143.9	NP_012796.1	YKL126W	YPK1
NC_001143.9	NP_012797.1	YKL125W	RRN3
NC_001143.9	NP_012798.1	YKL124W	SSH4
NC_001143.9	NP_012800.1	YKL122C	SRP21
NC_001143.9	NP_012801.1	YKL121W	DGR2
NC_001143.9	NP_012802.1	YKL120W	OAC1
NC_001143.9	NP_012803.1	YKL119C	VPH2
NC_001143.9	NP_012805.1	YKL117W	SBA1
NC_001143.9	NP_012806.1	YKL116C	PRR1
NC_001143.9	NP_012808.1	YKL114C	APN1
NC_001143.9	NP_012809.1	YKL113C	RAD27
NC_001143.9	NP_012810.1	YKL112W	ABF1
NC_001143.9	NP_012812.1	YKL110C	KTI12
NC_001143.9	NP_012813.1	YKL109W	HAP4
NC_001143.9	NP_012814.1	YKL108W	SLD2
NC_001143.9	NP_012815.1	YKL107W	NP_012815.1
NC_001143.9	NP_076898.1	YKL106C-A	NP_076898.1
NC_001143.9	NP_012816.1	YKL106W	AAT1
NC_001143.9	NP_012817.1	YKL105C	SEG2
NC_001143.9	NP_012818.1	YKL104C	GFA1
NC_001143.9	NP_012819.1	YKL103C	APE1
NC_001143.9	NP_001335789.1	YKL102C	NP_001335789.1
NC_001143.9	NP_012821.2	YKL101W	HSL1
NC_001143.9	NP_012822.1	YKL100C	YPF1
NC_001143.9	NP_012823.2	YKL099C	UTP11
NC_001143.9	NP_012824.1	YKL098W	MTC2
NC_001143.9	NP_001335790.1	YKL097C	NP_001335790.1
NC_001143.9	NP_878110.1	YKL096C-B	NP_878110.1
NC_001143.9	NP_012826.1	YKL096W-A	CWP2
NC_001143.9	NP_012827.1	YKL096W	CWP1
NC_001143.9	NP_012828.1	YKL095W	YJU2
NC_001143.9	NP_012829.1	YKL094W	YJU3
NC_001143.9	NP_012830.1	YKL093W	MBR1
NC_001143.9	NP_012831.1	YKL092C	BUD2
NC_001143.9	NP_012832.1	YKL091C	NP_012832.1
NC_001143.9	NP_012833.1	YKL090W	CUE2
NC_001143.9	NP_012834.1	YKL089W	MIF2
NC_001143.9	NP_012835.1	YKL088W	CAB3
NC_001143.9	NP_012836.1	YKL087C	CYT2
NC_001143.9	NP_012837.1	YKL086W	SRX1
NC_001143.9	NP_012838.1	YKL085W	MDH1
NC_001143.9	NP_012839.1	YKL084W	HOT13
NC_001143.9	NP_012841.1	YKL082C	RRP14
NC_001143.9	NP_012842.1	YKL081W	TEF4
NC_001143.9	NP_012843.1	YKL080W	VMA5
NC_001143.9	NP_012844.1	YKL079W	SMY1
NC_001143.9	NP_012845.1	YKL078W	DHR2
NC_001143.9	NP_012846.1	YKL077W	NP_012846.1
NC_001143.9	NP_012848.1	YKL075C	NP_012848.1
NC_001143.9	NP_012849.1	YKL074C	MUD2
NC_001143.9	NP_012850.1	YKL073W	LHS1
NC_001143.9	NP_012851.1	YKL072W	STB6
NC_001143.9	NP_012852.1	YKL071W	NP_012852.1
NC_001143.9	NP_012853.1	YKL070W	NP_012853.1
NC_001143.9	NP_012854.1	YKL069W	NP_012854.1
NC_001143.9	NP_878111.1	YKL068W-A	NP_878111.1
NC_001143.9	NP_012855.1	YKL068W	NUP100
NC_001143.9	NP_012856.1	YKL067W	YNK1
NC_001143.9	NP_001032580.1	YKL065W-A	NP_001032580.1
NC_001143.9	NP_012858.2	YKL065C	YET1
NC_001143.9	NP_012859.1	YKL064W	MNR2
NC_001143.9	NP_012860.1	YKL063C	NP_012860.1
NC_001143.9	NP_012861.1	YKL062W	MSN4
NC_001143.9	NP_012862.1	YKL061W	BLI1
NC_001143.9	NP_012863.1	YKL060C	FBA1
NC_001143.9	NP_012864.1	YKL059C	MPE1
NC_001143.9	NP_012865.1	YKL058W	TOA2
NC_001143.9	NP_012866.1	YKL057C	NUP120
NC_001143.9	NP_012867.1	YKL056C	TMA19
NC_001143.9	NP_012868.1	YKL055C	OAR1
NC_001143.9	NP_012869.1	YKL054C	DEF1
NC_001143.9	NP_012870.1	YKL053C-A	MDM35
NC_001143.9	NP_012872.2	YKL052C	ASK1
NC_001143.9	NP_012873.1	YKL051W	SFK1
NC_001143.9	NP_012874.1	YKL050C	NP_012874.1
NC_001143.9	NP_012875.2	YKL049C	CSE4
NC_001143.9	NP_012876.1	YKL048C	ELM1
NC_001143.9	NP_012877.1	YKL047W	ANR2
NC_001143.9	NP_012878.1	YKL046C	DCW1
NC_001143.9	NP_012879.1	YKL045W	PRI2
NC_001143.9	NP_001257684.1	YKL044W	MMO1
NC_001143.9	NP_012881.1	YKL043W	PHD1
NC_001143.9	NP_012882.3	YKL042W	SPC42
NC_001143.9	NP_012883.1	YKL041W	VPS24
NC_001143.9	NP_012884.3	YKL040C	NFU1
NC_001143.9	NP_012885.2	YKL039W	PTM1
NC_001143.9	NP_012886.3	YKL038W	RGT1
NC_001143.9	NP_012887.1	YKL037W	AIM26
NC_001143.9	NP_012889.3	YKL035W	UGP1
NC_001143.9	NP_012890.1	YKL034W	TUL1
NC_001143.9	NP_012891.4	YKL033W-A	NP_012891.4
NC_001143.9	NP_012892.1	YKL033W	TTI1
NC_001143.9	NP_012893.3	YKL032C	IXR1
NC_001143.9	NP_012896.1	YKL029C	MAE1
NC_001143.9	NP_012897.3	YKL028W	TFA1
NC_001143.9	NP_012898.1	YKL027W	TCD2
NC_001143.9	NP_012899.3	YKL026C	GPX1
NC_001143.9	NP_012900.1	YKL025C	PAN3
NC_001143.9	NP_012901.3	YKL024C	URA6
NC_001143.9	NP_001032581.1	YKL023C-A	NP_001032581.1
NC_001143.9	NP_012902.4	YKL023W	NP_012902.4
NC_001143.9	NP_012903.1	YKL022C	CDC16
NC_001143.9	NP_012904.3	YKL021C	MAK11
NC_001143.9	NP_012905.1	YKL020C	SPT23
NC_001143.9	NP_012906.3	YKL019W	RAM2
NC_001143.9	NP_076899.1	YKL018C-A	NP_076899.1
NC_001143.9	NP_012907.3	YKL018W	SWD2
NC_001143.9	NP_012908.1	YKL017C	HCS1
NC_001143.9	NP_012909.3	YKL016C	ATP7
NC_001143.9	NP_012910.1	YKL015W	PUT3
NC_001143.9	NP_012911.3	YKL014C	URB1
NC_001143.9	NP_012912.1	YKL013C	ARC19
NC_001143.9	NP_012913.3	YKL012W	PRP40
NC_001143.9	NP_012914.1	YKL011C	CCE1
NC_001143.9	NP_012915.3	YKL010C	UFD4
NC_001143.9	NP_012916.1	YKL009W	MRT4
NC_001143.9	NP_012917.3	YKL008C	LAC1
NC_001143.9	NP_012918.1	YKL007W	CAP1
NC_001143.9	NP_012919.3	YKL006C-A	SFT1
NC_001143.9	NP_012920.1	YKL006W	RPL14A
NC_001143.9	NP_012921.3	YKL005C	BYE1
NC_001143.9	NP_012922.1	YKL004W	AUR1
NC_001143.9	NP_012923.3	YKL003C	MRP17
NC_001143.9	NP_012924.2	YKL002W	DID4
NC_001143.9	NP_012925.3	YKL001C	MET14
NC_001143.9	NP_012926.1	YKR001C	VPS1
NC_001143.9	NP_012927.3	YKR002W	PAP1
NC_001143.9	NP_012928.1	YKR003W	OSH6
NC_001143.9	NP_012929.4	YKR004C	ECM9
NC_001143.9	NP_012930.2	YKR005C	NP_012930.2
NC_001143.9	NP_012931.4	YKR006C	MRPL13
NC_001143.9	NP_012932.1	YKR007W	MEH1
NC_001143.9	NP_012933.4	YKR008W	RSC4
NC_001143.9	NP_012934.1	YKR009C	FOX2
NC_001143.9	NP_012935.3	YKR010C	TOF2
NC_001143.9	NP_012936.1	YKR011C	NP_012936.1
NC_001143.9	NP_012938.3	YKR013W	PRY2
NC_001143.9	NP_012939.1	YKR014C	YPT52
NC_001143.9	NP_012940.3	YKR015C	NP_012940.3
NC_001143.9	NP_012941.1	YKR016W	MIC60
NC_001143.9	NP_012942.3	YKR017C	HEL1
NC_001143.9	NP_012943.1	YKR018C	NP_012943.1
NC_001143.9	NP_012944.3	YKR019C	IRS4
NC_001143.9	NP_012945.1	YKR020W	VPS51
NC_001143.9	NP_012946.3	YKR021W	ALY1
NC_001143.9	NP_012947.1	YKR022C	NTR2
NC_001143.9	NP_012948.3	YKR023W	NP_012948.3
NC_001143.9	NP_012949.1	YKR024C	DBP7
NC_001143.9	NP_012950.3	YKR025W	RPC37
NC_001143.9	NP_012951.1	YKR026C	GCN3
NC_001143.9	NP_012952.3	YKR027W	BCH2
NC_001143.9	NP_012953.2	YKR028W	SAP190
NC_001143.9	NP_012954.3	YKR029C	SET3
NC_001143.9	NP_012955.1	YKR030W	GMH1
NC_001143.9	NP_012956.3	YKR031C	SPO14
NC_001143.9	NP_001335791.1	YKR032W	NP_001335791.1
NC_001143.9	NP_012959.1	YKR034W	DAL80
NC_001143.9	NP_012961.3	YKR035W-A	DID2
NC_001143.9	NP_012962.3	YKR036C	CAF4
NC_001143.9	NP_012963.3	YKR037C	SPC34
NC_001143.9	NP_012964.2	YKR038C	KAE1
NC_001143.9	NP_012965.3	YKR039W	GAP1
NC_001143.9	NP_012967.1	YKR041W	NP_012967.1
NC_001143.9	NP_012968.4	YKR042W	UTH1
NC_001143.9	NP_012969.1	YKR043C	SHB17
NC_001143.9	NP_012970.3	YKR044W	UIP5
NC_001143.9	NP_012971.2	YKR045C	NP_012971.2
NC_001143.9	NP_012972.3	YKR046C	PET10
NC_001143.9	NP_012974.1	YKR048C	NAP1
NC_001143.9	NP_012975.3	YKR049C	FMP46
NC_001143.9	NP_012976.1	YKR050W	TRK2
NC_001143.9	NP_012977.3	YKR051W	NP_012977.3
NC_001143.9	NP_012978.1	YKR052C	MRS4
NC_001143.9	NP_012979.3	YKR053C	YSR3
NC_001143.9	NP_012980.1	YKR054C	DYN1
NC_001143.9	NP_012981.3	YKR055W	RHO4
NC_001143.9	NP_012982.2	YKR056W	TRM2
NC_001143.9	NP_012983.3	YKR057W	RPS21A
NC_001143.9	NP_012984.2	YKR058W	GLG1
NC_001143.9	NP_012985.3	YKR059W	TIF1
NC_001143.9	NP_012986.1	YKR060W	UTP30
NC_001143.9	NP_012987.3	YKR061W	KTR2
NC_001143.9	NP_012988.1	YKR062W	TFA2
NC_001143.9	NP_012989.3	YKR063C	LAS1
NC_001143.9	NP_012990.1	YKR064W	OAF3
NC_001143.9	NP_012991.3	YKR065C	PAM17
NC_001143.9	NP_012992.1	YKR066C	CCP1
NC_001143.9	NP_012993.3	YKR067W	GPT2
NC_001143.9	NP_012994.1	YKR068C	BET3
NC_001143.9	NP_012995.3	YKR069W	MET1
NC_001143.9	NP_012996.1	YKR070W	NP_012996.1
NC_001143.9	NP_012997.3	YKR071C	DRE2
NC_001143.9	NP_012998.1	YKR072C	SIS2
NC_001143.9	NP_001335792.1	YKR073C	NP_001335792.1
NC_001143.9	NP_013000.3	YKR074W	AIM29
NC_001143.9	NP_013001.1	YKR075C	NP_013001.1
NC_001143.9	NP_013002.3	YKR076W	ECM4
NC_001143.9	NP_013003.1	YKR077W	MSA2
