scerevisiae	sbayanus
NP_011381.1	Sbay_7.130
NP_011382.1	Sbay_7.131
NP_011384.1	Sbay_7.132
NP_011385.3	Sbay_7.133
NP_011386.2	Sbay_7.134
NP_011387.2	Sbay_7.135
NP_011388.1	Sbay_7.136
NP_011389.3	Sbay_7.137
NP_011390.2	Sbay_7.143
NP_011391.2	Sbay_7.144
NP_011392.1	Sbay_7.145
NP_011393.3	Sbay_7.146
NP_011394.1	Sbay_7.147
NP_011395.1	Sbay_7.148
NP_011396.1	Sbay_7.149
NP_011398.3	Sbay_7.151
NP_011399.1	Sbay_7.152
NP_011400.1	Sbay_7.153
NP_011401.1	Sbay_7.154
NP_011402.3	Sbay_7.155
NP_011403.1	Sbay_7.156
NP_011404.1	Sbay_7.157
NP_011405.1	Sbay_7.158
NP_011407.3	Sbay_7.159
NP_011408.1	Sbay_7.160
NP_011409.1	Sbay_7.161
NP_011410.1	Sbay_7.162
NP_011411.3	Sbay_7.163
NP_011412.1	Sbay_7.164
NP_011414.1	Sbay_7.165
NP_011415.1	Sbay_7.166
NP_011416.3	Sbay_7.167
NP_011417.1	Sbay_7.168
NP_011418.1	Sbay_7.171
NP_011419.1	Sbay_7.172
NP_011420.3	Sbay_7.174
NP_011421.1	Sbay_7.175
NP_011422.1	Sbay_7.176
NP_011423.1	Sbay_7.177
NP_011424.3	Sbay_7.178
NP_011425.1	Sbay_7.179
NP_011426.1	Sbay_7.180
NP_011428.1	Sbay_7.182
NP_011429.3	Sbay_7.183
NP_011430.1	Sbay_7.185
NP_011431.1	Sbay_7.186
NP_011432.1	Sbay_7.187
NP_011433.3	Sbay_7.188
NP_011434.1	Sbay_7.189
NP_011435.1	Sbay_7.190
NP_011436.1	Sbay_7.191
NP_011437.3	Sbay_7.192
NP_011438.1	Sbay_7.193
NP_011439.1	Sbay_7.194
NP_011440.1	Sbay_7.195
NP_011442.3	Sbay_7.197
NP_011444.1	Sbay_7.198
NP_011445.1	Sbay_7.199
NP_011447.1	Sbay_7.200
NP_011448.3	Sbay_7.201
NP_011449.1	Sbay_7.202
NP_011450.1	Sbay_7.204
NP_011451.1	Sbay_7.205
NP_011453.1	Sbay_7.209
NP_011454.1	Sbay_7.210
NP_011455.1	Sbay_7.211
NP_011456.5	Sbay_7.212
NP_011457.1	Sbay_7.213
NP_011458.1	Sbay_7.214
NP_011459.2	Sbay_7.215
NP_011460.3	Sbay_7.216
NP_011461.1	Sbay_7.219
NP_011465.3	Sbay_7.224
NP_011466.1	Sbay_7.225
NP_011467.1	Sbay_7.227
NP_011468.1	Sbay_7.228
NP_011470.4	Sbay_7.230
NP_011471.1	Sbay_7.231
NP_011472.1	Sbay_7.232
NP_011475.1	Sbay_7.234
NP_011476.1	Sbay_7.108
NP_011477.1	Sbay_7.237
NP_011478.3	Sbay_7.238
NP_011479.1	Sbay_7.239
NP_011480.1	Sbay_7.240
NP_011482.3	Sbay_7.245
NP_011483.3	Sbay_7.246
NP_011485.1	Sbay_7.248
NP_011486.1	Sbay_7.249
NP_011487.3	Sbay_7.252
NP_011488.1	Sbay_7.253
NP_011489.1	Sbay_7.254
NP_011490.2	Sbay_7.255
NP_011492.3	Sbay_7.256
NP_011493.1	Sbay_7.257
NP_011494.1	Sbay_7.258
NP_011495.1	Sbay_7.259
NP_011496.3	Sbay_7.260
NP_011497.1	Sbay_7.261
NP_011498.1	Sbay_7.262
NP_011499.1	Sbay_7.263
NP_011500.3	Sbay_7.264
NP_011501.1	Sbay_7.265
NP_011502.1	Sbay_7.268
NP_011503.1	Sbay_7.269
NP_011504.3	Sbay_7.270
NP_011505.1	Sbay_7.271
NP_011506.1	Sbay_7.272
NP_011507.1	Sbay_7.273
NP_011509.1	Sbay_7.276
NP_011510.1	Sbay_7.277
NP_011511.3	Sbay_7.278
NP_011512.1	Sbay_7.279
NP_011513.1	Sbay_7.280
NP_011514.1	Sbay_7.281
NP_011515.4	Sbay_7.284
NP_011516.1	Sbay_7.285
NP_011517.1	Sbay_7.286
NP_011518.1	Sbay_7.287
NP_011519.3	Sbay_7.288
NP_011520.2	Sbay_7.289
NP_011521.1	Sbay_7.290
NP_011522.1	Sbay_7.291
NP_011523.3	Sbay_7.292
NP_011524.1	Sbay_7.293
NP_011526.1	Sbay_7.294
NP_011527.1	Sbay_7.295
NP_011528.3	Sbay_7.296
NP_011529.1	Sbay_7.297
NP_011530.1	Sbay_7.298
NP_011531.1	Sbay_7.299
NP_011533.3	Sbay_7.300
NP_011534.1	Sbay_7.301
NP_011535.1	Sbay_7.302
NP_011537.1	Sbay_7.303
NP_011538.3	Sbay_7.305
NP_011540.3	Sbay_7.306
NP_011541.1	Sbay_7.307
NP_011542.3	Sbay_7.309
NP_011543.4	Sbay_7.310
NP_011544.1	Sbay_7.312
NP_011545.1	Sbay_7.313
NP_011546.3	Sbay_7.314
NP_011547.3	Sbay_7.316
NP_011548.2	Sbay_10.445
NP_011549.1	Sbay_7.318
NP_011550.3	Sbay_7.321
NP_011551.3	Sbay_7.322
NP_011552.1	Sbay_7.323
NP_011554.3	Sbay_7.325
NP_011555.3	Sbay_7.326
NP_011556.1	Sbay_7.327
NP_011557.1	Sbay_7.328
NP_011558.1	Sbay_7.329
NP_011560.3	Sbay_7.330
NP_011561.3	Sbay_7.331
NP_011562.1	Sbay_7.332
NP_011563.1	Sbay_7.333
NP_011566.1	Sbay_7.334
NP_011567.3	Sbay_7.335
NP_011568.3	Sbay_7.336
NP_011569.1	Sbay_7.337
NP_011570.1	Sbay_7.338
NP_011571.4	Sbay_7.339
NP_011572.2	Sbay_7.340
NP_011573.3	Sbay_7.341
NP_011574.3	Sbay_7.342
NP_011575.1	Sbay_7.343
NP_011576.1	Sbay_7.344
NP_011577.3	Sbay_7.345
NP_011579.1	Sbay_7.346
NP_011580.3	Sbay_7.348
NP_011581.4	Sbay_7.349
NP_011582.1	Sbay_7.350
NP_011584.2	Sbay_7.352
NP_011585.3	Sbay_7.354
NP_011586.1	Sbay_7.355
NP_011588.3	Sbay_7.356
NP_011589.3	Sbay_7.357
NP_011590.1	Sbay_7.358
NP_011591.1	Sbay_7.359
NP_011592.3	Sbay_7.360
NP_011593.1	Sbay_7.361
NP_011594.3	Sbay_7.362
NP_011595.3	Sbay_7.363
NP_011596.1	Sbay_7.364
NP_011597.1	Sbay_7.365
NP_011598.3	Sbay_7.366
NP_011600.3	Sbay_7.368
NP_011601.3	Sbay_7.369
NP_011602.2	Sbay_7.370
NP_011603.1	Sbay_7.371
NP_011604.3	Sbay_7.373
NP_011605.1	Sbay_7.374
NP_011606.3	Sbay_7.375
NP_011607.3	Sbay_7.376
NP_011608.1	Sbay_7.377
NP_011609.2	Sbay_7.378
NP_011610.3	Sbay_7.379
NP_011611.1	Sbay_7.380
NP_011612.3	Sbay_7.381
NP_011613.3	Sbay_7.382
NP_011614.1	Sbay_7.383
NP_011615.1	Sbay_7.384
NP_011616.3	Sbay_7.385
NP_011617.1	Sbay_7.386
NP_011618.3	Sbay_7.387
NP_011619.3	Sbay_7.388
NP_011620.1	Sbay_7.389
NP_011622.1	Sbay_7.392
NP_011623.3	Sbay_7.393
NP_011625.3	Sbay_7.395
NP_011626.1	Sbay_7.396
NP_011627.1	Sbay_7.397
NP_011628.4	Sbay_7.398
NP_011631.1	Sbay_7.399
NP_011632.3	Sbay_7.400
NP_011634.1	Sbay_7.402
NP_011635.2	Sbay_7.403
NP_011636.3	Sbay_7.405
NP_011637.3	Sbay_7.406
NP_011639.3	Sbay_7.408
NP_011640.1	Sbay_7.410
NP_011641.1	Sbay_7.413
NP_011642.3	Sbay_7.414
NP_011643.1	Sbay_7.415
NP_011644.3	Sbay_7.416
NP_011645.3	Sbay_7.417
NP_011646.1	Sbay_7.418
NP_011647.1	Sbay_7.419
NP_011648.3	Sbay_7.420
NP_011649.1	Sbay_7.421
NP_011650.3	Sbay_7.422
NP_011651.3	Sbay_7.423
NP_011652.1	Sbay_7.424
NP_011654.1	Sbay_7.425
NP_011656.3	Sbay_7.427
NP_011657.1	Sbay_7.428
NP_011658.3	Sbay_7.429
NP_011659.3	Sbay_7.431
NP_011660.1	Sbay_7.434
NP_011661.2	Sbay_7.435
NP_011662.3	Sbay_7.436
NP_011663.3	Sbay_7.438
NP_011664.3	Sbay_7.439
NP_011665.1	Sbay_7.440
NP_011666.1	Sbay_7.441
NP_011668.3	Sbay_7.443
NP_011669.2	Sbay_7.444
NP_011671.3	Sbay_7.446
NP_011672.1	Sbay_7.447
NP_011673.1	Sbay_7.448
NP_011674.3	Sbay_7.449
NP_011675.1	Sbay_7.450
NP_011677.3	Sbay_7.451
NP_011678.3	Sbay_7.454
NP_011679.3	Sbay_7.455
NP_011681.1	Sbay_7.457
NP_011682.1	Sbay_7.458
NP_011683.3	Sbay_7.459
NP_011684.1	Sbay_7.460
NP_011685.3	Sbay_7.461
NP_011686.1	Sbay_7.463
NP_011687.1	Sbay_7.464
NP_011688.3	Sbay_7.465
NP_011689.1	Sbay_7.466
NP_011690.3	Sbay_7.468
NP_011691.1	Sbay_7.469
NP_011693.1	Sbay_7.470
NP_011694.3	Sbay_7.471
NP_011695.1	Sbay_7.472
NP_011696.3	Sbay_7.473
NP_011697.3	Sbay_7.475
NP_011699.1	Sbay_7.476
NP_011700.1	Sbay_7.477
NP_011701.3	Sbay_7.478
NP_011702.1	Sbay_7.479
NP_011703.3	Sbay_7.480
NP_011704.3	Sbay_7.481
NP_011707.1	Sbay_7.485
NP_011709.1	Sbay_7.487
NP_011710.3	Sbay_7.488
NP_011711.3	Sbay_7.489
NP_011712.1	Sbay_7.490
NP_011713.1	Sbay_7.491
NP_011714.3	Sbay_7.492
NP_011715.1	Sbay_7.493
NP_011716.3	Sbay_7.494
NP_011717.4	Sbay_7.495
NP_011718.1	Sbay_7.496
NP_011719.1	Sbay_7.497
NP_011720.3	Sbay_7.498
NP_011721.3	Sbay_7.499
NP_011722.3	Sbay_7.500
NP_011723.1	Sbay_7.501
NP_011724.1	Sbay_7.502
NP_011725.3	Sbay_7.503
NP_011726.1	Sbay_7.504
NP_011727.3	Sbay_7.505
NP_011728.3	Sbay_7.506
NP_011729.1	Sbay_7.507
NP_011730.1	Sbay_7.508
NP_011731.3	Sbay_7.509
NP_011732.1	Sbay_7.510
NP_011733.3	Sbay_7.511
NP_011734.3	Sbay_7.513
NP_011736.1	Sbay_7.514
NP_011737.2	Sbay_7.515
NP_011738.3	Sbay_7.516
NP_011739.1	Sbay_7.517
NP_011741.5	Sbay_7.518
NP_011743.2	Sbay_7.520
NP_011745.1	Sbay_7.521
NP_011746.3	Sbay_7.522
NP_011747.2	Sbay_7.523
NP_011748.3	Sbay_7.524
NP_011749.3	Sbay_7.525
NP_011750.1	Sbay_7.526
NP_011751.1	Sbay_7.527
NP_011752.4	Sbay_7.528
NP_011753.1	Sbay_7.529
NP_011754.3	Sbay_7.530
NP_011755.3	Sbay_7.531
NP_011756.1	Sbay_7.532
NP_011757.3	Sbay_7.533
NP_011759.1	Sbay_7.538
NP_011760.3	Sbay_7.539
NP_011761.3	Sbay_7.540
NP_011762.1	Sbay_7.541
NP_011763.1	Sbay_7.542
NP_011764.3	Sbay_7.543
NP_011765.1	Sbay_7.544
NP_011766.3	Sbay_7.546
NP_011767.3	Sbay_7.547
NP_011768.1	Sbay_7.548
NP_011769.1	Sbay_7.549
NP_011770.3	Sbay_15.374
NP_011771.1	Sbay_7.552
NP_011772.3	Sbay_7.554
NP_011773.3	Sbay_7.555
NP_011774.1	Sbay_7.556
NP_011776.1	Sbay_7.557
NP_011777.3	Sbay_7.559
NP_011778.1	Sbay_7.560
NP_011779.3	Sbay_7.561
NP_011780.3	Sbay_7.562
NP_011782.1	Sbay_7.563
NP_011783.1	Sbay_7.564
NP_011784.3	Sbay_7.565
NP_011786.1	Sbay_7.566
NP_011787.4	Sbay_7.567
NP_011789.1	Sbay_7.569
NP_011790.1	Sbay_7.570
NP_011791.4	Sbay_7.571
NP_011792.1	Sbay_7.572
NP_011793.3	Sbay_7.573
NP_011794.3	Sbay_7.574
NP_011795.1	Sbay_7.575
NP_011796.1	Sbay_7.576
NP_011797.3	Sbay_7.577
NP_011798.1	Sbay_7.579
NP_011799.3	Sbay_7.580
NP_011800.3	Sbay_7.581
NP_011801.1	Sbay_7.582
NP_011802.1	Sbay_7.583
NP_011823.1	Sbay_8.12
NP_011824.1	Sbay_8.13
NP_011825.1	Sbay_8.14
NP_011827.1	Sbay_8.15
NP_011828.1	Sbay_8.16
NP_011829.1	Sbay_8.17
NP_011831.1	Sbay_8.19
NP_011832.1	Sbay_8.20
NP_011833.1	Sbay_8.21
NP_011834.1	Sbay_8.22
NP_011835.1	Sbay_8.23
NP_011836.1	Sbay_8.24
NP_011837.2	Sbay_8.25
NP_011838.1	Sbay_8.26
NP_011839.1	Sbay_8.27
NP_011840.1	Sbay_8.28
NP_011841.1	Sbay_8.30
NP_011842.1	Sbay_8.31
NP_011843.1	Sbay_8.32
NP_011844.1	Sbay_8.33
NP_011845.1	Sbay_8.34
NP_011846.1	Sbay_8.35
NP_011847.1	Sbay_8.36
NP_011848.1	Sbay_8.37
NP_011849.1	Sbay_8.38
NP_011850.1	Sbay_8.39
NP_011851.1	Sbay_8.40
NP_011852.1	Sbay_8.41
NP_011853.1	Sbay_8.42
NP_011854.1	Sbay_8.43
NP_011855.1	Sbay_8.46
NP_011856.1	Sbay_8.47
NP_011857.2	Sbay_8.48
NP_011859.1	Sbay_8.49
NP_011860.1	Sbay_8.50
NP_011861.1	Sbay_8.51
NP_011862.1	Sbay_11.223
NP_011863.1	Sbay_8.54
NP_011864.1	Sbay_8.55
NP_011865.1	Sbay_8.56
NP_011866.1	Sbay_8.57
NP_011867.1	Sbay_8.58
NP_011868.1	Sbay_8.59
NP_011869.1	Sbay_8.60
NP_011870.1	Sbay_8.62
NP_011871.1	Sbay_8.63
NP_011872.1	Sbay_8.64
NP_011873.1	Sbay_8.65
NP_011874.1	Sbay_8.66
NP_011875.1	Sbay_8.67
NP_011876.1	Sbay_8.68
NP_011877.1	Sbay_8.69
NP_011878.1	Sbay_8.70
NP_011879.1	Sbay_15.198
NP_011880.1	Sbay_15.199
NP_011881.1	Sbay_15.200
NP_011882.1	Sbay_15.201
NP_011883.1	Sbay_15.202
NP_011884.1	Sbay_15.204
NP_011885.1	Sbay_15.206
NP_011888.1	Sbay_15.209
NP_011889.1	Sbay_15.210
NP_011890.1	Sbay_15.211
NP_011891.1	Sbay_15.212
NP_011892.1	Sbay_15.213
NP_011893.1	Sbay_15.214
NP_011894.1	Sbay_13.79
NP_011895.1	Sbay_15.216
NP_011896.1	Sbay_15.217
NP_011897.1	Sbay_15.218
NP_011899.1	Sbay_15.221
NP_011900.1	Sbay_15.222
NP_011901.1	Sbay_15.223
NP_011902.1	Sbay_15.224
NP_011903.1	Sbay_15.225
NP_011904.1	Sbay_15.226
NP_011905.1	Sbay_15.227
NP_011906.1	Sbay_15.228
NP_011907.1	Sbay_15.229
NP_011908.1	Sbay_15.230
NP_011909.1	Sbay_15.232
NP_011911.1	Sbay_15.233
NP_011912.1	Sbay_15.234
NP_011913.1	Sbay_15.235
NP_011914.1	Sbay_15.236
NP_011915.1	Sbay_15.237
NP_011917.1	Sbay_15.240
NP_011918.1	Sbay_15.241
NP_011919.1	Sbay_15.243
NP_011922.1	Sbay_15.244
NP_011923.2	Sbay_15.245
NP_011924.1	Sbay_15.246
NP_011925.1	Sbay_15.247
NP_011926.1	Sbay_15.248
NP_011927.1	Sbay_15.249
NP_011928.1	Sbay_15.250
NP_011929.1	Sbay_15.251
NP_011930.1	Sbay_15.252
NP_011931.2	Sbay_15.253
NP_011932.2	Sbay_15.254
NP_011933.1	Sbay_15.255
NP_011934.1	Sbay_15.256
NP_011935.1	Sbay_15.257
NP_011936.1	Sbay_15.258
NP_011937.1	Sbay_15.259
NP_011938.1	Sbay_15.260
NP_011939.2	Sbay_15.262
NP_011940.1	Sbay_15.264
NP_011941.1	Sbay_15.265
NP_011942.1	Sbay_15.266
NP_011943.2	Sbay_15.268
NP_011944.2	Sbay_15.269
NP_011945.1	Sbay_15.270
NP_011946.1	Sbay_15.271
NP_011947.2	Sbay_15.272
NP_011948.1	Sbay_15.273
NP_011949.1	Sbay_15.274
NP_011950.1	Sbay_15.275
NP_011951.1	Sbay_15.277
NP_011952.1	Sbay_15.278
NP_011953.1	Sbay_15.279
NP_011954.1	Sbay_15.280
NP_011955.1	Sbay_15.281
NP_011956.1	Sbay_15.282
NP_011957.1	Sbay_15.283
NP_011958.1	Sbay_15.284
NP_011959.1	Sbay_15.285
NP_011960.2	Sbay_15.287
NP_011962.1	Sbay_15.290
NP_011964.1	Sbay_15.291
NP_011965.1	Sbay_15.292
NP_011966.1	Sbay_15.293
NP_011967.1	Sbay_15.294
NP_011968.1	Sbay_15.295
NP_011969.1	Sbay_15.296
NP_011970.1	Sbay_15.297
NP_011971.1	Sbay_15.299
NP_011972.1	Sbay_15.300
NP_011973.1	Sbay_15.301
NP_011974.1	Sbay_15.302
NP_011975.1	Sbay_15.303
NP_011976.1	Sbay_15.304
NP_011977.1	Sbay_15.305
NP_011978.1	Sbay_15.306
NP_011979.1	Sbay_15.307
NP_011980.1	Sbay_15.308
NP_011981.1	Sbay_15.309
NP_011982.1	Sbay_15.310
NP_011983.1	Sbay_15.311
NP_011984.1	Sbay_15.313
NP_011985.1	Sbay_15.314
NP_011986.1	Sbay_15.315
NP_011987.1	Sbay_15.316
NP_011988.1	Sbay_15.317
NP_011989.1	Sbay_15.318
NP_011990.1	Sbay_15.319
NP_011991.1	Sbay_15.320
NP_011992.1	Sbay_15.321
NP_011994.1	Sbay_15.323
NP_011995.1	Sbay_15.324
NP_011996.2	Sbay_15.325
NP_011997.1	Sbay_15.326
NP_011999.2	Sbay_15.327
NP_012000.1	Sbay_15.328
NP_012001.1	Sbay_15.330
NP_012002.1	Sbay_15.331
NP_012003.1	Sbay_15.332
NP_012004.1	Sbay_15.333
NP_012005.1	Sbay_15.334
NP_012006.1	Sbay_15.335
NP_012007.1	Sbay_15.336
NP_012009.1	Sbay_15.337
NP_012011.1	Sbay_15.339
NP_012012.1	Sbay_15.340
NP_012013.1	Sbay_15.341
NP_012014.1	Sbay_15.342
NP_012016.1	Sbay_15.344
NP_012017.1	Sbay_15.346
NP_012018.1	Sbay_15.347
NP_012019.1	Sbay_15.348
NP_012020.1	Sbay_15.349
NP_012021.1	Sbay_15.350
NP_012022.1	Sbay_15.351
NP_012023.1	Sbay_15.352
NP_012024.1	Sbay_15.353
NP_012025.1	Sbay_15.354
NP_012026.1	Sbay_15.355
NP_012027.1	Sbay_15.356
NP_012028.1	Sbay_15.357
NP_012029.1	Sbay_15.358
NP_012030.1	Sbay_15.359
NP_012031.1	Sbay_15.360
NP_012032.1	Sbay_15.361
NP_012033.2	Sbay_15.362
NP_012034.1	Sbay_15.363
NP_012035.1	Sbay_15.365
NP_012036.1	Sbay_15.366
NP_012037.1	Sbay_15.367
NP_012038.2	Sbay_15.368
NP_012039.1	Sbay_15.369
NP_012040.1	Sbay_15.370
NP_012041.1	Sbay_15.371
NP_012042.1	Sbay_15.372
NP_012045.3	Sbay_15.375
NP_012046.4	Sbay_15.376
NP_012047.1	Sbay_15.377
NP_012048.3	Sbay_15.378
NP_012049.1	Sbay_15.379
NP_012051.3	Sbay_15.382
NP_012052.1	Sbay_15.383
NP_012053.3	Sbay_15.384
NP_012054.1	Sbay_15.385
NP_012055.3	Sbay_15.387
NP_012056.1	Sbay_15.389
NP_012057.3	Sbay_15.390
NP_012058.1	Sbay_15.391
NP_012059.3	Sbay_15.392
NP_012060.1	Sbay_15.393
NP_012061.3	Sbay_15.394
NP_012062.1	Sbay_15.395
NP_012063.3	Sbay_15.396
NP_012064.1	Sbay_15.397
NP_012065.3	Sbay_15.398
NP_012066.1	Sbay_15.399
NP_012067.4	Sbay_15.400
NP_012068.1	Sbay_15.401
NP_012069.3	Sbay_15.402
NP_012070.3	Sbay_15.404
NP_012071.1	Sbay_15.405
NP_012072.3	Sbay_15.408
NP_012074.3	Sbay_15.410
NP_012075.1	Sbay_15.411
NP_012076.3	Sbay_15.412
NP_012077.1	Sbay_15.413
NP_012078.3	Sbay_15.414
NP_012079.1	Sbay_15.416
NP_012100.1	Sbay_9.18
NP_012102.1	Sbay_9.19
NP_012104.1	Sbay_9.23
NP_012105.1	Sbay_9.24
NP_012106.1	Sbay_9.25
NP_012107.1	Sbay_9.26
NP_012108.3	Sbay_9.27
NP_012109.1	Sbay_9.28
NP_012110.1	Sbay_9.30
NP_012111.1	Sbay_9.32
NP_012112.3	Sbay_9.34
NP_012113.1	Sbay_9.35
NP_012114.1	Sbay_9.36
NP_012115.1	Sbay_9.37
NP_012116.1	Sbay_9.38
NP_012117.3	Sbay_9.39
NP_012119.1	Sbay_9.41
NP_012120.1	Sbay_9.43
NP_012121.2	Sbay_9.44
NP_012122.3	Sbay_9.45
NP_012123.1	Sbay_9.46
NP_012124.1	Sbay_9.47
NP_012126.1	Sbay_9.48
NP_012127.1	Sbay_9.49
NP_012128.3	Sbay_9.51
NP_012129.1	Sbay_9.52
NP_012130.1	Sbay_9.53
NP_012131.1	Sbay_9.54
NP_012132.3	Sbay_9.55
NP_012133.1	Sbay_9.56
NP_012134.1	Sbay_9.57
NP_012135.1	Sbay_9.58
NP_012136.1	Sbay_9.59
NP_012137.3	Sbay_9.62
NP_012138.1	Sbay_9.63
NP_012139.1	Sbay_9.64
NP_012140.1	Sbay_9.65
NP_012141.1	Sbay_9.66
NP_012142.3	Sbay_9.67
NP_012143.2	Sbay_9.68
NP_012144.1	Sbay_9.69
NP_012145.1	Sbay_9.70
NP_012146.1	Sbay_9.71
NP_012147.3	Sbay_9.73
NP_012148.1	Sbay_9.76
NP_012149.1	Sbay_9.77
NP_012150.1	Sbay_9.78
NP_012151.1	Sbay_9.79
NP_012152.3	Sbay_9.80
NP_012153.1	Sbay_9.81
NP_012154.1	Sbay_9.82
NP_012155.1	Sbay_9.83
NP_012156.1	Sbay_9.84
NP_012157.3	Sbay_9.85
NP_012158.1	Sbay_9.87
NP_012159.1	Sbay_9.88
NP_012160.2	Sbay_9.89
NP_012161.1	Sbay_9.90
NP_012162.3	Sbay_9.91
NP_012163.1	Sbay_9.92
NP_012165.1	Sbay_9.95
NP_012167.3	Sbay_9.99
NP_012168.3	Sbay_9.100
NP_012169.1	Sbay_9.101
NP_012170.1	Sbay_9.102
NP_012171.1	Sbay_9.104
NP_012172.1	Sbay_9.105
NP_012173.3	Sbay_9.106
NP_012174.3	Sbay_9.107
NP_012175.1	Sbay_9.108
NP_012176.1	Sbay_9.109
NP_012177.1	Sbay_10.118
NP_012178.1	Sbay_9.112
NP_012179.3	Sbay_9.113
NP_012181.3	Sbay_9.114
NP_012182.1	Sbay_9.115
NP_012183.2	Sbay_9.116
NP_012186.1	Sbay_9.118
NP_012188.3	Sbay_9.120
NP_012189.2	Sbay_9.124
NP_012190.1	Sbay_9.125
NP_012191.1	Sbay_9.127
NP_012192.2	Sbay_9.128
NP_012193.3	Sbay_9.129
NP_012194.1	Sbay_9.131
NP_012195.1	Sbay_9.132
NP_012196.1	Sbay_9.133
NP_012197.1	Sbay_9.134
NP_012198.3	Sbay_9.135
NP_012199.3	Sbay_9.136
NP_012200.1	Sbay_9.137
NP_012201.1	Sbay_9.138
NP_012202.1	Sbay_9.139
NP_012203.1	Sbay_9.140
NP_012207.3	Sbay_9.141
NP_012208.1	Sbay_9.143
NP_012209.1	Sbay_9.144
NP_012211.2	Sbay_9.145
NP_012212.1	Sbay_5.164
NP_012213.3	Sbay_9.148
NP_012214.3	Sbay_9.149
NP_012215.1	Sbay_9.150
NP_012216.1	Sbay_9.152
NP_012217.3	Sbay_9.153
NP_012218.1	Sbay_9.154
NP_012219.3	Sbay_9.155
NP_012220.3	Sbay_9.156
NP_012221.2	Sbay_9.157
NP_012222.1	Sbay_9.158
NP_012223.3	Sbay_9.159
NP_012224.1	Sbay_9.160
NP_012225.1	Sbay_9.161
NP_012226.3	Sbay_9.162
NP_012227.3	Sbay_9.163
NP_012228.1	Sbay_9.164
NP_012229.1	Sbay_9.165
NP_012230.3	Sbay_9.166
NP_012231.1	Sbay_9.167
NP_012233.1	Sbay_9.168
NP_012234.3	Sbay_9.169
NP_012237.1	Sbay_9.172
NP_012238.1	Sbay_9.173
NP_012240.3	Sbay_9.174
NP_012241.1	Sbay_9.175
NP_012242.1	Sbay_9.177
NP_012243.3	Sbay_9.178
NP_012244.3	Sbay_9.180
NP_012245.1	Sbay_9.181
NP_012247.3	Sbay_9.184
NP_012248.1	Sbay_9.185
NP_012249.1	Sbay_9.187
NP_012250.3	Sbay_9.189
NP_012251.3	Sbay_9.191
NP_012252.1	Sbay_9.192
NP_012255.3	Sbay_9.194
NP_012256.1	Sbay_9.195
NP_012258.3	Sbay_9.199
NP_012259.3	Sbay_9.200
NP_012260.1	Sbay_9.201
NP_012261.1	Sbay_9.202
NP_012262.3	Sbay_9.203
NP_012263.1	Sbay_9.204
NP_012264.3	Sbay_9.206
NP_012265.3	Sbay_9.207
NP_012266.1	Sbay_9.210
NP_012267.1	Sbay_9.211
NP_012268.3	Sbay_9.212
NP_012269.1	Sbay_9.213
NP_012270.1	Sbay_9.214
NP_012271.3	Sbay_9.216
NP_012272.3	Sbay_9.218
NP_012273.1	Sbay_9.219
NP_012274.1	Sbay_9.220
NP_012275.3	Sbay_9.221
NP_012276.1	Sbay_9.222
NP_012277.1	Sbay_9.223
NP_012278.3	Sbay_9.224
NP_012279.4	Sbay_9.225
NP_012280.1	Sbay_9.226
NP_012281.1	Sbay_9.228
NP_012282.3	Sbay_9.230
NP_012283.1	Sbay_9.231
NP_012284.3	Sbay_9.234
NP_012287.3	Sbay_9.237
NP_012288.1	Sbay_9.238
NP_012289.3	Sbay_9.239
NP_012290.1	Sbay_9.240
NP_012291.1	Sbay_9.241
NP_012292.3	Sbay_9.242
NP_012293.3	Sbay_9.243
NP_012294.3	Sbay_9.244
NP_012295.1	Sbay_9.245
NP_012296.1	Sbay_9.246
NP_012297.3	Sbay_9.247
NP_012298.1	Sbay_9.248
NP_012299.1	Sbay_9.249
NP_012300.3	Sbay_9.250
NP_012301.3	Sbay_9.251
NP_012302.3	Sbay_9.252
NP_012303.1	Sbay_9.253
NP_012304.1	Sbay_9.254
NP_012305.3	Sbay_16.14
NP_012308.1	Sbay_44.1
NP_012317.1	Sbay_16.29
NP_012318.1	Sbay_4.561
NP_012322.1	Sbay_6.291
NP_012323.1	Sbay_6.290
NP_012325.1	Sbay_6.289
NP_012326.1	Sbay_6.288
NP_012327.1	Sbay_6.287
NP_012328.1	Sbay_6.286
NP_012329.1	Sbay_6.285
NP_012330.1	Sbay_6.284
NP_012331.1	Sbay_6.283
NP_012332.1	Sbay_6.282
NP_012334.1	Sbay_6.281
NP_012335.1	Sbay_6.280
NP_012337.1	Sbay_6.278
NP_012338.1	Sbay_6.276
NP_012339.1	Sbay_6.275
NP_012341.1	Sbay_6.274
NP_012342.1	Sbay_6.273
NP_012343.1	Sbay_6.272
NP_012345.1	Sbay_6.270
NP_012346.1	Sbay_6.269
NP_012348.1	Sbay_6.268
NP_012349.2	Sbay_6.266
NP_012350.1	Sbay_6.265
NP_012351.1	Sbay_6.264
NP_012352.2	Sbay_6.263
NP_012354.1	Sbay_6.262
NP_012355.1	Sbay_6.261
NP_012356.2	Sbay_6.260
NP_012357.2	Sbay_6.259
NP_012358.1	Sbay_11.44
NP_012359.1	Sbay_6.257
NP_012361.1	Sbay_6.255
NP_012362.1	Sbay_6.254
NP_012363.1	Sbay_6.252
NP_012364.2	Sbay_6.251
NP_012365.2	Sbay_6.250
